"GEO_ID","NAME","B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Male --!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2017 inflation-adjusted dollars) --!!Female --!!Other (dollars)"
"1400000US72139060401","Census Tract 604.01, Trujillo Alto Municipio, Puerto Rico","15604","1793","15011","2605","17981","2746","7071","2684","16361","2260","18347","2483","8345","1424"
"1400000US72139060403","Census Tract 604.03, Trujillo Alto Municipio, Puerto Rico","31170","5969","32092","8150","50496","14525","6667","2770","30286","15660","50276","20536","9363","5498"
"1400000US72139060404","Census Tract 604.04, Trujillo Alto Municipio, Puerto Rico","36364","9002","48281","8725","55781","11421","10300","5727","25417","9945","41250","7369","9505","2752"
"1400000US72139060501","Census Tract 605.01, Trujillo Alto Municipio, Puerto Rico","15603","1079","15772","891","17423","3176","8066","1317","15058","4029","23813","5524","7722","1983"
"1400000US72139060502","Census Tract 605.02, Trujillo Alto Municipio, Puerto Rico","16844","3541","16500","2741","20541","3379","7364","2755","19750","7796","22170","1846","7535","1819"
"1400000US72141956900","Census Tract 9569, Utuado Municipio, Puerto Rico","14975","2059","13007","4601","22946","7928","6474","2383","17212","3764","21454","4944","13816","9691"
"1400000US72141957000","Census Tract 9570, Utuado Municipio, Puerto Rico","19214","4025","16150","3745","18919","3652","9375","2348","24471","5945","27734","3366","-","**"
"1400000US72141957100","Census Tract 9571, Utuado Municipio, Puerto Rico","14321","1724","11600","4405","21360","4659","5357","3423","16471","3417","26250","13451","-","**"
"1400000US72141957200","Census Tract 9572, Utuado Municipio, Puerto Rico","16926","2272","12423","3398","17942","1777","7286","5014","18782","998","19314","1570","17740","2813"
"1400000US72141957300","Census Tract 9573, Utuado Municipio, Puerto Rico","11067","2302","11321","3138","27109","14392","6696","4580","10114","7060","21750","3792","6019","2205"
"1400000US72141957400","Census Tract 9574, Utuado Municipio, Puerto Rico","15158","5514","15594","2235","16701","1178","5833","3777","-","**","-","**","2,500-","***"
"1400000US72141957500","Census Tract 9575, Utuado Municipio, Puerto Rico","13444","3252","14402","5898","17364","2526","2,500-","***","12426","6862","20156","10286","6117","838"
"1400000US72141957600","Census Tract 9576, Utuado Municipio, Puerto Rico","13898","3420","17115","9626","24053","4074","6579","5566","10717","3731","15697","4305","9626","1481"
"1400000US72143550100","Census Tract 5501, Vega Alta Municipio, Puerto Rico","25060","10516","26434","15201","35658","13792","-","**","19722","9641","31223","7330","11799","4566"
