ID,Lat,LongW,Vg (mph),Vsust (mph),Lon
29657,17.969999,67.110001,75.44,59.19,-67.110001
29658,17.969999,67.099998,75.68,59.32,-67.099998
29659,17.969999,67.089996,75.93,59.48,-67.089996
29660,17.969999,67.080002,76.08,59.53,-67.080002
29661,17.969999,67.07,83.91,69.01,-67.07
29663,17.969999,67.050003,77.21,60.36,-67.050003
29664,17.969999,67.040001,77.56,60.56,-67.040001
29665,17.969999,67.029999,78.05,60.95,-67.029999
29666,17.969999,67.019997,78.54,61.33,-67.019997
29667,17.969999,67.010002,79.02,61.71,-67.010002
29668,17.969999,67,79.49,62.08,-67
29669,17.969999,66.989998,79.98,62.47,-66.989998
29670,17.969999,66.980003,80.47,62.85,-66.980003
29671,17.969999,66.970001,80.96,63.24,-66.970001
29672,17.969999,66.959999,81.45,63.62,-66.959999
29673,17.969999,66.949997,81.89,63.97,-66.949997
29674,17.969999,66.940002,82.31,64.3,-66.940002
29675,17.969999,66.93,82.73,64.64,-66.93
29676,17.969999,66.919998,83.17,64.98,-66.919998
29677,17.969999,66.910004,83.61,65.33,-66.910004
29678,17.969999,66.900002,84.04,65.67,-66.900002
29679,17.969999,66.889999,84.48,66.01,-66.889999
29680,17.969999,66.879997,84.84,66.3,-66.879997
29681,17.969999,66.870003,85.2,66.58,-66.870003
29682,17.969999,66.860001,85.55,66.85,-66.860001
29683,17.969999,66.849998,85.9,67.13,-66.849998
29684,17.969999,66.839996,86.24,67.4,-66.839996
29685,17.969999,66.830002,86.54,67.64,-66.830002
29686,17.969999,66.82,86.81,67.84,-66.82
29687,17.969999,66.809998,87.07,68.05,-66.809998
29688,17.969999,66.800003,90.08,72.72,-66.800003
29689,17.969999,66.790001,90.04,72.47,-66.790001
29700,17.969999,66.68,90.71,71.96,-66.68
29701,17.969999,66.669998,89.55,70.01,-66.669998
29707,17.969999,66.610001,93.29,75.22,-66.610001
29708,17.969999,66.599998,92.06,71.99,-66.599998
29709,17.969999,66.589996,92.4,72.26,-66.589996
29710,17.969999,66.580002,93.24,72.91,-66.580002
29711,17.969999,66.57,94.02,73.53,-66.57
29712,17.969999,66.559998,94.7,74.06,-66.559998
29724,17.969999,66.440002,106.53,87.36,-66.440002
29725,17.969999,66.43,102.32,80.29,-66.43
29726,17.969999,66.419998,102.63,80.32,-66.419998
29727,17.969999,66.410004,102.91,80.54,-66.410004
29728,17.969999,66.400002,103.39,80.92,-66.400002
29729,17.969999,66.389999,103.92,81.34,-66.389999
29730,17.969999,66.379997,104.37,81.69,-66.379997
29731,17.969999,66.370003,104.69,81.94,-66.370003
29732,17.969999,66.360001,104.99,82.19,-66.360001
29733,17.969999,66.349998,105.45,82.55,-66.349998
29737,17.969999,66.309998,107.01,83.78,-66.309998
29738,17.969999,66.300003,107.25,83.97,-66.300003
29739,17.969999,66.290001,107.83,84.42,-66.290001
29740,17.969999,66.279999,108.34,84.83,-66.279999
29741,17.969999,66.269997,108.77,85.17,-66.269997
29742,17.969999,66.260002,109.05,85.39,-66.260002
29743,17.969999,66.25,109.21,85.51,-66.25
29744,17.969999,66.239998,109.38,85.65,-66.239998
29745,17.969999,66.230003,109.93,86.08,-66.230003
29746,17.969999,66.220001,110.82,86.78,-66.220001
29747,17.969999,66.209999,111.73,87.51,-66.209999
29748,17.969999,66.199997,112.61,88.2,-66.199997
29749,17.969999,66.190002,113.4,88.82,-66.190002
29750,17.969999,66.18,114.14,89.41,-66.18
29751,17.969999,66.169998,114.76,89.9,-66.169998
29752,17.969999,66.160004,115.29,90.32,-66.160004
29753,17.969999,66.150002,115.69,90.63,-66.150002
29754,17.969999,66.139999,115.94,90.83,-66.139999
29755,17.969999,66.129997,116.59,91.35,-66.129997
29756,17.969999,66.120003,117.41,91.99,-66.120003
29757,17.969999,66.110001,118.13,92.56,-66.110001
29758,17.969999,66.099998,118.79,93.08,-66.099998
29759,17.969999,66.089996,119.35,93.52,-66.089996
29760,17.969999,66.080002,119.84,93.91,-66.080002
29761,17.969999,66.07,120.23,94.22,-66.07
29762,17.969999,66.059998,120.55,94.47,-66.059998
29763,17.969999,66.050003,120.74,94.62,-66.050003
29764,17.969999,66.040001,120.81,94.67,-66.040001
29765,17.969999,66.029999,120.71,94.6,-66.029999
29770,17.969999,65.980003,118.04,92.49,-65.980003
29774,17.969999,65.940002,127.57,105.69,-65.940002
30088,17.98,67.209999,74.43,60.14,-67.209999
30089,17.98,67.199997,74.08,59.25,-67.199997
30090,17.98,67.190002,74.11,58.99,-67.190002
30091,17.98,67.18,74.29,59,-67.18
30092,17.98,67.169998,74.5,59.03,-67.169998
30093,17.98,67.160004,74.75,59.16,-67.160004
30094,17.98,67.150002,75.01,59.28,-67.150002
30095,17.98,67.139999,75.3,59.46,-67.139999
30096,17.98,67.129997,75.53,59.55,-67.129997
