censusid,tractid,poverty_rank,unemployed_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009060102,12009060102,0.322646658,0.767914439,0.980413175,0.424800312,2.495774583,0.702290607
1400000US12009060200,12009060200,0.420580783,0.537773456,0.835704541,0.402493668,2.196552449,0.617725798
1400000US12009060300,12009060300,0.479243812,0.697520661,0.79058663,0.541009156,2.50836026,0.705847514
1400000US12009060400,12009060400,0.66205418,0.491784152,0.556129409,0.687901812,2.397869553,0.674621129
1400000US12009060500,12009060500,0.551062171,0.612056393,0.821184954,0.654880187,2.639183705,0.742820246
1400000US12009060600,12009060600,0.690995907,0.7724842,0.465114013,0.627897915,2.556492036,0.7194503
1400000US12009060700,12009060700,0.911323329,0.771998055,0.042097057,0.649912332,2.375330773,0.668251321
1400000US12009061001,12009061001,0.257552134,0.484491979,0.477294874,0.354568478,1.573907465,0.441756682
1400000US12009061002,12009061002,0.716039758,0.916869227,0.594523485,0.921780635,3.149213105,0.886962454
1400000US12009061100,12009061100,0.346910934,0.710646573,0.670824401,0.511007208,2.239389115,0.629832103
1400000US12009061201,12009061201,0.168290782,0.405444823,0.567335802,0.300506526,1.441577932,0.404358307
1400000US12009061202,12009061202,0.093354122,0.656003889,0.679594621,0.221897526,1.650850158,0.463501879
1400000US12009062103,12009062103,0.259695966,0.54312105,0.947281232,0.233781414,1.983879662,0.557621174
1400000US12009062104,12009062104,0.128727344,0.733592611,0.893198207,0.100720826,1.856238987,0.521547943
1400000US12009062106,12009062106,0.461995712,0.807194944,0.588189437,0.481200078,2.338580171,0.657865032
1400000US12009062107,12009062107,0.714285714,0.752746719,0.781036835,0.621079291,2.869148559,0.807811875
1400000US12009062108,12009062108,0.123562658,0.483908605,0.885792243,0.072764465,1.566027972,0.439529815
1400000US12009062109,12009062109,0.335996882,0.49197861,0.938998246,0.142119618,1.909093355,0.536485406
1400000US12009062301,12009062301,0.832878581,0.910646573,0.133794582,0.909896747,2.787216482,0.784656602
1400000US12009062302,12009062302,0.853050088,0.764219737,0.112161372,0.640658484,2.370089682,0.666770107
1400000US12009062400,12009062400,0.785032157,0.765289256,0.305885792,0.571692967,2.427900173,0.683108248
1400000US12009062500,12009062500,0.648119275,0.114632961,0.506431495,0.554743815,1.823927545,0.512416229
