censusid,tractid,poverty_rank,unemployed_rank,earnings_rank,owner_rank,house_old_rank,dvi_raw,dvi
1400000US12009061100,12009061100,0.346910934,0.710646573,0.168957785,0.670824401,0.511007208,2.4083469,0.518467579
1400000US12009061201,12009061201,0.168290782,0.405444823,0.264989763,0.567335802,0.300506526,1.706567696,0.356152723
1400000US12009061202,12009061202,0.093354122,0.656003889,0.09895681,0.679594621,0.221897526,1.749806968,0.366153556
1400000US12009062103,12009062103,0.259695966,0.54312105,0.380423126,0.947281232,0.233781414,2.364302788,0.508280594
1400000US12009062104,12009062104,0.128727344,0.733592611,0.373988496,0.893198207,0.100720826,2.230227483,0.477270251
1400000US12009062106,12009062106,0.461995712,0.807194944,0.647265282,0.588189437,0.481200078,2.985845453,0.652037501
1400000US12009062107,12009062107,0.714285714,0.752746719,0.622014234,0.781036835,0.621079291,3.491162793,0.768912595
1400000US12009062108,12009062108,0.123562658,0.483908605,0.227064444,0.885792243,0.072764465,1.793092415,0.376165068
1400000US12009062109,12009062109,0.335996882,0.49197861,0.589256118,0.938998246,0.142119618,2.498349473,0.539284318
1400000US12009062301,12009062301,0.832878581,0.910646573,0.816905528,0.133794582,0.909896747,3.60412201,0.795038988
1400000US12009062302,12009062302,0.853050088,0.764219737,0.825485035,0.112161372,0.640658484,3.195574716,0.700545885
1400000US12009062400,12009062400,0.785032157,0.765289256,0.714243931,0.305885792,0.571692967,3.142144104,0.688187892
1400000US12009062500,12009062500,0.648119275,0.114632961,0.748366969,0.506431495,0.554743815,2.572294514,0.556387102
1400000US12009062600,12009062600,0.956051452,0.737773456,0.960709759,0.086143052,0.83635301,3.57703073,0.788773033
1400000US12009062800,12009062800,0.474566361,0.629460379,0.255045335,0.698791659,0.652055328,2.709919062,0.588218351
1400000US12009062900,12009062900,0.506041707,0.888964511,0.655064834,0.69343208,0.616306254,3.359809386,0.738531802
1400000US12009063000,12009063000,0.224322744,0.640544482,0.302037633,0.660007796,0.443697643,2.270610298,0.486610412
1400000US12009063102,12009063102,0.119567336,0.331550802,0.194403822,0.654160982,0.039450614,1.339133556,0.271168702
1400000US12009063104,12009063104,0.190703567,0.309285367,0.338793019,0.720912103,0.146113384,1.70580744,0.355976883
1400000US12009063105,12009063105,0.340674332,0.466407389,0.529882032,0.550087702,0.31375414,2.200805596,0.470465249
1400000US12009063106,12009063106,0.106509452,0.3033544,0.235546456,0.842915611,0.002045587,1.490371506,0.306148601
1400000US12009063107,12009063107,0.25014617,0.265921245,0.341132885,0.7053206,0.063023573,1.625544473,0.337412823
1400000US12009064102,12009064102,0.026700448,0.420709772,0.13512723,0.739427012,0.01811806,1.340082522,0.271388188
1400000US12009064123,12009064123,0.219158059,0.717452601,0.443404504,0.260378094,0.138612897,1.779006155,0.37290705
1400000US12009064124,12009064124,0.197135061,0.572581429,0.442819538,0.603196258,0.571985194,2.38771748,0.51369619
1400000US12009064125,12009064125,0.226661469,0.582304327,0.191673979,0.960728903,0.301383207,2.262751884,0.484792836
1400000US12009064126,12009064126,0.24858702,0.076227516,0.330018524,0.621223933,0.240697448,1.516754441,0.312250723
1400000US12009064127,12009064127,0.088579224,0.074963539,0.229989276,0.910056519,0.165010715,1.468599273,0.301112891
1400000US12009064128,12009064128,0.165075034,0.868838114,0.222384713,0.861040733,0.081141633,2.198480226,0.469927413
1400000US12009064201,12009064201,0.6128435,0.166067088,0.47216535,0.438608458,0.877751802,2.567436199,0.55526342
1400000US12009064202,12009064202,0.634086923,0.678755469,0.501998635,0.16897291,0.717124489,2.700938425,0.586141215
1400000US12009064301,12009064301,0.38150458,0.081088965,0.705664424,0.185928669,0.399571401,1.753758038,0.367067401
1400000US12009064302,12009064302,0.710582732,0.298492951,0.575801891,0.408010134,0.706019871,2.698907581,0.5856715
1400000US12009064400,12009064400,0.329857728,0.30043753,0.632153651,0.857824985,0.923436587,3.043710481,0.665421132
1400000US12009064500,12009064500,0.776359384,0.502284881,0.703227064,0.331416878,0.918566141,3.231854348,0.708937019
1400000US12009064601,12009064601,0.228707854,0.353038405,0.38208053,0.51880725,0.445938048,1.928572088,0.407500228
1400000US12009064602,12009064602,0.427791853,0.095187166,0.469727991,0.499122978,0.285408143,1.777238131,0.372498123
1400000US12009064700,12009064700,0.771292146,0.921147302,0.858340645,0.319625804,0.780732515,3.651138412,0.805913435
